area0,area1,area2,area3,area4
울창한 나무들이 주변을 반겨주고 있다. 새들이 지저귀는 소리가 기분 좋게 들리는 걸 보니 이번 모험은 나쁘지 않을 것 같다.,주변을 살펴보니 작은 나무 근처에 약초가 자라나 있다. 주변에 있는 흙을 가볍게 털고 손으로 조심스레 잡아 당겨서 뽑았다. 재료를 얻었다.,방금 풀숲에서 뭔가 움직인 것 같았다. 확인을 해보니 그냥 숲속 동물이 달리고 있었다. 아쉬움을 떨쳐내고 발걸음을 옮겼다.,특이한 나비가 눈앞에 날아다니고 있다. 손을 뻗으니 가만히 손 위에 내려앉았다. 아마도 같이 가고 싶어하는 것 같다! 나비를 얻었다.,계속 걷다 보니 점점 지쳐가고 있다. 슬슬 모험을 마무리 짓고 집으로 돌아가는 게 나을 것 같다.
화려한 꽃들이 여기저기 피어나 있고 풀들은 무성하게 자라나 질긴 생명력을 보여주는 듯하다. 향기로운 냄새가 기분을 좋게 만든다.,고개를 숙여 손으로 풀숲을 조심스레 헤치다 보니 약초를 발견했다. 손을 뻗어서 뿌리가 상하지 않도록 받쳐서 들고 왔다. 재료를 얻었다.,9/땅속에 뭔가 있는 것 같이 볼록하게 튀어나와 있다. 한번 파볼까?/8 파본다 7안 판다 /6/손으로 계속 파봤지만 아무 것도 나오지 않았다.. 헛수고만 한 채 힘없이 발걸음을 옮겼다.../5/자세히 보니 볼록한 부분 뒤로 식물 뿌리가 이어져 있었다. 뿌리를 따라가니 구석에 약초들이 있었다! 재료를 발견했다.,저 멀리서 신비한 가루를 뿌리고 있는 나비가 보인다. 가루를 따라서 걸어가 보니 나비가 나에게 다가와 앉았다! 나비를 얻었다.,저 멀리 길의 끝이 보이기 시작했다. 모험이 끝나는 것을 느끼며 끝을 향해 열심히 걸어 나갔다.
나무 그루터기가 여기저기 보인다. 나무를 등지고 앉고 싶은 마음이 들지만 풀 길을 따라 반겨주는 모험의 길이 나를 움직이게 만든다.,손으로 수풀을 헤치고 나아가니 약초가 있는 수풀을 발견했다. 수풀 아래에 있는 약초를 조심해서 뽑았다. 재료를 얻었다.,9/땅속에 뭔가 있는 것 같이 볼록하게 튀어나와 있다. 한번 파볼까?/8 파본다 7안 판다 /6/조금씩 주변을 파보자 약초가 무더기로 나왔다. 혹시 동물들이 묻고 간 걸까? 재료를 얻었다./5/그냥 평범하게 생긴 땅 모양일 것이라고 생각했다. 신경 쓰지 않고 걸어가기로 한다.,작은 틈에서 뭔가 반짝이는 걸 발견했다. 자세히 보니 나비가 앉아서 쉬고 있었다. 그러다 내 쪽으로 날아오더니 어깨에 앉았다! 나비를 얻었다.,모험의 끝을 알려주기라도 하는 듯 저 멀리 빛이 보이기 시작했다. 집을 향해 발걸음을 가볍게 옮겼다.
커다란 나뭇잎이 여기저기 매달려 있다. 그늘로 적합해 보이는 듯 작은 동물들이 여기 저기 햇빛을 피해 쉬고 있다. 편안한 기분이 든다.,향기로운 꽃들 사이를 자세히 살펴보니 약초가 보인다. 실수로 꽃을 뽑지 않도록 조심하면서 약초를 가져왔다. 재료를 얻었다.,9/오솔길을 따라 걸어가 보니 두 갈래로 나누어진 갈림길이 보인다. 어느 쪽으로 갈까? /8 왼쪽  7 오른쪽 /6/왼쪽으로 쭉 들어가 보니 수풀 주변에 크고 작은 약초들을 발견했다! 재료를 얻었다./5/오른쪽으로 방향을 틀어 쭉 가보니 막다른 길이 보인다.. 다시 되돌아갔다.,길을 걷다 보니 눈앞에 반짝이는 나비가 다가왔다. 나비가 있는 쪽을 향해 손을 뻗자 잠시 주춤하면서 사뿐히 손 위로 앉았다. 나비를 얻었다.,이제 모험의 끝이 보이기 시작했다. 피곤한 몸을 이끌고 끝을 향해 힘을 쥐어짜서 열심히 걸어갔다.
넓은 들판을 보니 뛰어다니고 싶은 기분이 든다. 확 트이는 공간에 숨을 크게 들이쉬고 내쉬었다. 기분 좋은 시작을 느끼며 나아간다.,짧은 풀들 사이를 살펴보다가 약초가 숨어 있는 것을 발견했다. 휴.. 하마터면 비슷하게 생겨서 그냥 지나갈 뻔했네. 재료를 얻었다.,9/오솔길을 따라 걸어가 보니 두 갈래로 나누어진 갈림길이 보인다. 어느 쪽으로 갈까? /8 왼쪽  7 오른쪽 /6/왼쪽으로 방향을 틀어 쭉 가보니 막다른 길이 보인다.. 다시 되돌아갔다../5/오른쪽으로 쭉 들어가 보니 수풀 주변에 크고 작은 약초들을 발견했다! 재료를 얻었다.,한 마리의 신비로워 보이는 나비가 내게로 천천히 다가왔다. 잠시 동안 주변을 맴돌더니 무언가 결심한 듯 내 어깨에 앉았다! 나비를 얻었다.,피곤함이 점점 몰려오기 시작해서 발걸음이 느려지고 있다. 슬슬 돌아가야 할 때가 된 것 같다.
시원한 계곡물이 빠르게 흘러내리고 있다. 위에서 떠내려온 듯한 나뭇잎들이 마치 나룻배처럼 보인다. 계곡물을 따라 앞으로 걸어가자.,물속에 발을 담그고 살펴보니 무언가 하늘하늘 떠다니고 있다. 고개를 숙여 살펴보니 약초가 작게 자라나 있었다. 재료를 얻었다.,조금 더 깊은 곳으로 들어가니 뭔가 보이는 것 같다. 확인해보니 깊은 물 속에 약초들이 무더기로 있었다! 재료를 얻었다.,특이한 나비가 눈앞에 날아다니고 있다. 손을 뻗으니 가만히 손 위에 내려앉았다. 아마도 같이 가고 싶어하는 것 같다! 나비를 얻었다.,계속 걷다 보니 점점 지쳐가고 있다. 슬슬 모험을 마무리 짓고 집으로 돌아가는 게 나을 것 같다.
고요한 호수 속에 물고기들이 헤엄치고 있다. 자세히 들여다보니 다양한 물고기들이 있었다. 호수 주변으로 조심스레 걸어가보자.,나뭇잎이 둥둥 떠다니고 있는 연못 주변에 약초가 자라나 있다. 물에 손을 담가 조심스레 약초를 잡아 당겼다. 재료를 얻었다.,9/시원한 물줄기를 따라 길을 걷다 보니 강줄기가 두 갈래로 나뉜 곳에 도착했다. 어느 쪽으로 갈까?  /8 왼쪽  7 오른쪽 /6/왼쪽으로 꺾어서 쭉 따라가 보니 어느 순간 물길이 끊겼다.. 다시 되돌아갔다./5/오른쪽으로 가다 보니 얕은 호수가 보였다. 안을 들여다보니 약초들이 여기저기 있다! 재료를 얻었다.,저 멀리서 신비한 가루를 뿌리고 있는 나비가 보인다. 가루를 따라서 걸어가 보니 나비가 나에게 다가와 앉았다! 나비를 얻었다.,저 멀리 길의 끝이 보이기 시작했다. 모험이 끝나는 것을 느끼며 끝을 향해 열심히 걸어 나갔다.
강을 따라 올라가니 그곳에는 폭포가 있었다. 살짝 튀는 물이 더위를 잠깐 식혀준다. 폭포 주변에 맞지 않도록 조심하며 주변을 살펴보자.,고요한 호수 밑에 약초들이 흐물흐물 떠다니고 있다. 약초를 가져오면서 만져보니 미역 같다는 느낌이 들었다. 재료를 얻었다.,9/시원한 물줄기를 따라 길을 걷다 보니 강줄기가 두 갈래로 나뉜 곳에 도착했다. 어느 쪽으로 갈까?  /8 왼쪽  7 오른쪽 /6/왼쪽으로 가다 보니 얕은 호수가 보였다. 안을 들여다보니 약초들이 여기저기 있다! 재료를 얻었다./5/오른쪽으로 꺾어서 쭉 따라가 보니 어느 순간 물길이 끊겼다.. 다시 되돌아갔다.,작은 틈에서 뭔가 반짝이는 걸 발견했다. 자세히 보니 나비가 앉아서 쉬고 있었다. 그러다 내 쪽으로 날아오더니 어깨에 앉았다! 나비를 얻었다.,모험의 끝을 알려주기라도 하는 듯 저 멀리 빛이 보이기 시작했다. 집을 향해 발걸음을 가볍게 옮겼다.
맑은 강물 속에 다양한 돌들이 비치고 있다. 돌이 비치는 것을 보아하니 그렇게 깊지는 않아 보인다. 발을 담가 앞으로 향해 나아가자.,중앙에 있는 약초를 잡다가 손이 미끄러져 하마터면 물속에 빠질 뻔했다. 여분의 옷을 가지고 있지 않으니까 조심해야겠다. 재료를 얻었다.,9/걷고 있는데 어디선가 첨벙하는 소리가 들려온다. 흐음.. 한번 따라가 볼까? /8따라간다 7안 간다 /6/소리를 따라 가니 평범한 개구리가 물가에서 헤엄치고 있었다.. 개굴거리는 소리만이 반겨주고 있을 뿐이다../5/무시하고 소리의 반대편을 향해 나아갔다. 그러다 건너편 벽 쪽에 약초들이 있는 것을 발견했다! 재료를 얻었다.,길을 걷다 보니 눈앞에 반짝이는 나비가 다가왔다. 나비가 있는 쪽을 향해 손을 뻗자 잠시 주춤하면서 사뿐히 손 위로 앉았다. 나비를 얻었다.,이제 모험의 끝이 보이기 시작했다. 피곤한 몸을 이끌고 끝을 향해 힘을 쥐어짜서 열심히 걸어갔다.
시냇물이 졸졸 흐르는 곳으로 발걸음을 옮겼다. 작은 물소리가 마음을 편안하게 해준다. 물을 따라 시선을 옮기기로 한다.,흐르는 강물 사이로 잘잘하게 있는 돌주변에서 약초를 발견했다. 실수로 미끄러지지 않도록 손을 뻗어 조심스럽게 잡았다. 재료를 얻었다.,9/걷고 있는데 어디선가 첨벙하는 소리가 들려온다. 흐음.. 한번 따라가 볼까? /8따라간다 7안 간다 /6/소리를 따라 가니 물방울이 떨어지고 있었다. 방울이 있는 곳 주변을 살펴보니 약초들이 있었다! 재료를 얻었다./5/소리는 별것 아니겠지라고 생각했기 때문에 무시하고 지나가기로 했다.,한 마리의 신비로워 보이는 나비가 내게로 천천히 다가왔다. 잠시 동안 주변을 맴돌더니 무언가 결심한 듯 내 어깨에 앉았다! 나비를 얻었다.,피곤함이 점점 몰려오기 시작해서 발걸음이 느려지고 있다. 슬슬 돌아가야 할 때가 된 것 같다.
